Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-09-07,Goodbye First Love,2011,https://letterboxd.com/cindyshi/film/goodbye-first-love/,1.5,,mubi,2018-09-06
2018-09-11,Minding the Gap,2018,https://letterboxd.com/cindyshi/film/minding-the-gap/,4,,"viff, vancity",2018-09-10
2018-09-15,The Lobster,2015,https://letterboxd.com/cindyshi/film/the-lobster/,3.5,,mubi,2018-09-14
2018-09-16,Autumn Sonata,1978,https://letterboxd.com/cindyshi/film/autumn-sonata/,4.5,,cinematheque,2018-09-15
2018-09-16,Cries and Whispers,1972,https://letterboxd.com/cindyshi/film/cries-and-whispers/,4,,cinematheque,2018-09-15
2018-09-17,Ida,2013,https://letterboxd.com/cindyshi/film/ida/,3.5,,kanopy,2018-09-16
2018-09-19,Mandy,2018,https://letterboxd.com/cindyshi/film/mandy-2018/,2,,"park, cineplex",2018-09-18
2018-09-20,"Crazy, Stupid, Love.",2011,https://letterboxd.com/cindyshi/film/crazy-stupid-love/,4,,,2018-09-19
2018-09-21,White Boy Rick,2018,https://letterboxd.com/cindyshi/film/white-boy-rick-2018/,2,,"cineplex, international village",2018-09-20
2018-09-21,Life Itself,2018,https://letterboxd.com/cindyshi/film/life-itself-2018/,1,,"cineplex, international village",2018-09-20
2018-09-22,The Wife,2017,https://letterboxd.com/cindyshi/film/the-wife-2017/,3,,"fifth ave, cineplex",2018-09-21
